COLLNUM,Taxon.Name,CATNUM,PRESTYPE,STATUS,ORIGLOCAL,Locality.Selector,LocalityQualifier,ISGPPROV,COLLECTOR,DATECOLL1,gps,elevation,country,province,locality,site,lat,lon,gps_raw,A or B?
FK 12448,Oreophryne anamiatoi,33763,alcoholic,"installed, Dec 2009","Papua New Guinea: Southern Highlands Prov., Camp 1 (5.66954° S, 142.62334° E), 2177 m) = from F Kraus field catalogue *;* E slope Mt. Itukua = from email by F Kraus dated 24 Aug 2009.","Mt. Itukua, E slope (4.13 km SW Tangi) {Papua New Guinea: Southern Highlands Prov.: Mt. Itukua, E slope (4.13 km SW Tangi), camp 1    :    2177 m    :    5.66954ºS [5.66954° S (WGS 84)]  142.62334ºE [142.62334° E (WGS 84)].}",,Southern Highlands Prov.,F Kraus,17 Mar 2009,"-5.66954, 142.62334",2177 m,Papua New Guinea,Southern Highlands Prov.,"Mt. Itukua, E slope (4.13 km SW Tangi), camp 1    ","Mt. Itukua, E slope (4.13 km SW Tangi)",-5.66954,142.62334,5.66954ºS 142.62334ºE ,A
FK 12676,Oreophryne anamiatoi,33764,alcoholic,"installed, Dec 2009","Papua New Guinea: Southern Highlands Prov., Camp 1 (5.66954° S, 142.62334° E), 2177 m) = from F Kraus field catalogue *;* E slope Mt. Itukua = from email by F Kraus dated 24 Aug 2009.","Mt. Itukua, E slope (4.13 km SW Tangi) {Papua New Guinea: Southern Highlands Prov.: Mt. Itukua, E slope (4.13 km SW Tangi), camp 1    :    2177 m    :    5.66954ºS [5.66954° S (WGS 84)]  142.62334ºE [142.62334° E (WGS 84)].}",,Southern Highlands Prov.,F Kraus,22 Mar 2009,"-5.66954, 142.62334",2177 m,Papua New Guinea,Southern Highlands Prov.,"Mt. Itukua, E slope (4.13 km SW Tangi), camp 1    ","Mt. Itukua, E slope (4.13 km SW Tangi)",-5.66954,142.62334,5.66954ºS 142.62334ºE ,A
FK 12854,Oreophryne anamiatoi,33765,alcoholic,"installed, Dec 2009","Papua New Guinea: Southern Highlands Prov., Camp 1 (5.66954° S, 142.62334° E), 2177 m) = from F Kraus field catalogue *;* E slope Mt. Itukua = from email by F Kraus dated 24 Aug 2009.","Mt. Itukua, E slope (4.13 km SW Tangi) {Papua New Guinea: Southern Highlands Prov.: Mt. Itukua, E slope (4.13 km SW Tangi), camp 1    :    2177 m    :    5.66954ºS [5.66954° S (WGS 84)]  142.62334ºE [142.62334° E (WGS 84)].}",,Southern Highlands Prov.,F Kraus,26 Mar 2009,"-5.66954, 142.62334",2177 m,Papua New Guinea,Southern Highlands Prov.,"Mt. Itukua, E slope (4.13 km SW Tangi), camp 1    ","Mt. Itukua, E slope (4.13 km SW Tangi)",-5.66954,142.62334,5.66954ºS 142.62334ºE ,A
FK 12855,Oreophryne anamiatoi,33766,alcoholic,"installed, Dec 2009","Papua New Guinea: Southern Highlands Prov., Camp 1 (5.66954° S, 142.62334° E), 2177 m) = from F Kraus field catalogue *;* E slope Mt. Itukua = from email by F Kraus dated 24 Aug 2009.","Mt. Itukua, E slope (4.13 km SW Tangi) {Papua New Guinea: Southern Highlands Prov.: Mt. Itukua, E slope (4.13 km SW Tangi), camp 1    :    2177 m    :    5.66954ºS [5.66954° S (WGS 84)]  142.62334ºE [142.62334° E (WGS 84)].}",,Southern Highlands Prov.,F Kraus,26 Mar 2009,"-5.66954, 142.62334",2177 m,Papua New Guinea,Southern Highlands Prov.,"Mt. Itukua, E slope (4.13 km SW Tangi), camp 1    ","Mt. Itukua, E slope (4.13 km SW Tangi)",-5.66954,142.62334,5.66954ºS 142.62334ºE ,A
FK 12881,Oreophryne anamiatoi,33767,alcoholic,"installed, Dec 2009","Papua New Guinea: Southern Highlands Prov., Camp 1 (5.66954° S, 142.62334° E), 2177 m) = from F Kraus field catalogue *;* E slope Mt. Itukua = from email by F Kraus dated 24 Aug 2009.","Mt. Itukua, E slope (4.13 km SW Tangi) {Papua New Guinea: Southern Highlands Prov.: Mt. Itukua, E slope (4.13 km SW Tangi), camp 1    :    2177 m    :    5.66954ºS [5.66954° S (WGS 84)]  142.62334ºE [142.62334° E (WGS 84)].}",,Southern Highlands Prov.,F Kraus,27 Mar 2009,"-5.66954, 142.62334",2177 m,Papua New Guinea,Southern Highlands Prov.,"Mt. Itukua, E slope (4.13 km SW Tangi), camp 1    ","Mt. Itukua, E slope (4.13 km SW Tangi)",-5.66954,142.62334,5.66954ºS 142.62334ºE ,A
FK 12882,Oreophryne anamiatoi,33768,alcoholic,"installed, Dec 2009","Papua New Guinea: Southern Highlands Prov., Camp 1 (5.66954° S, 142.62334° E), 2177 m) = from F Kraus field catalogue *;* E slope Mt. Itukua = from email by F Kraus dated 24 Aug 2009.","Mt. Itukua, E slope (4.13 km SW Tangi) {Papua New Guinea: Southern Highlands Prov.: Mt. Itukua, E slope (4.13 km SW Tangi), camp 1    :    2177 m    :    5.66954ºS [5.66954° S (WGS 84)]  142.62334ºE [142.62334° E (WGS 84)].}",,Southern Highlands Prov.,"F Kraus, J Anamiato",27 Mar 2009,"-5.66954, 142.62334",2177 m,Papua New Guinea,Southern Highlands Prov.,"Mt. Itukua, E slope (4.13 km SW Tangi), camp 1    ","Mt. Itukua, E slope (4.13 km SW Tangi)",-5.66954,142.62334,5.66954ºS 142.62334ºE ,A
FK 12884,Oreophryne anamiatoi,33769,alcoholic,"installed, Dec 2009","Papua New Guinea: Southern Highlands Prov., Camp 1 (5.66954° S, 142.62334° E), 2177 m) = from F Kraus field catalogue *;* E slope Mt. Itukua = from email by F Kraus dated 24 Aug 2009.","Mt. Itukua, E slope (4.13 km SW Tangi) {Papua New Guinea: Southern Highlands Prov.: Mt. Itukua, E slope (4.13 km SW Tangi), camp 1    :    2177 m    :    5.66954ºS [5.66954° S (WGS 84)]  142.62334ºE [142.62334° E (WGS 84)].}",,Southern Highlands Prov.,F Kraus,28 Mar 2009,"-5.66954, 142.62334",2177 m,Papua New Guinea,Southern Highlands Prov.,"Mt. Itukua, E slope (4.13 km SW Tangi), camp 1    ","Mt. Itukua, E slope (4.13 km SW Tangi)",-5.66954,142.62334,5.66954ºS 142.62334ºE ,A
FK 12885,Oreophryne anamiatoi,33770,alcoholic,"installed, Dec 2009","Papua New Guinea: Southern Highlands Prov., Camp 1 (5.66954° S, 142.62334° E), 2177 m) = from F Kraus field catalogue *;* E slope Mt. Itukua = from email by F Kraus dated 24 Aug 2009.","Mt. Itukua, E slope (4.13 km SW Tangi) {Papua New Guinea: Southern Highlands Prov.: Mt. Itukua, E slope (4.13 km SW Tangi), camp 1    :    2177 m    :    5.66954ºS [5.66954° S (WGS 84)]  142.62334ºE [142.62334° E (WGS 84)].}",,Southern Highlands Prov.,F Kraus,28 Mar 2009,"-5.66954, 142.62334",2177 m,Papua New Guinea,Southern Highlands Prov.,"Mt. Itukua, E slope (4.13 km SW Tangi), camp 1    ","Mt. Itukua, E slope (4.13 km SW Tangi)",-5.66954,142.62334,5.66954ºS 142.62334ºE ,A
FK 12886,Oreophryne anamiatoi,33771,alcoholic,"installed, Dec 2009","Papua New Guinea: Southern Highlands Prov., Camp 1 (5.66954° S, 142.62334° E), 2177 m) = from F Kraus field catalogue *;* E slope Mt. Itukua = from email by F Kraus dated 24 Aug 2009.","Mt. Itukua, E slope (4.13 km SW Tangi) {Papua New Guinea: Southern Highlands Prov.: Mt. Itukua, E slope (4.13 km SW Tangi), camp 1    :    2177 m    :    5.66954ºS [5.66954° S (WGS 84)]  142.62334ºE [142.62334° E (WGS 84)].}",,Southern Highlands Prov.,F Kraus,28 Mar 2009,"-5.66954, 142.62334",2177 m,Papua New Guinea,Southern Highlands Prov.,"Mt. Itukua, E slope (4.13 km SW Tangi), camp 1    ","Mt. Itukua, E slope (4.13 km SW Tangi)",-5.66954,142.62334,5.66954ºS 142.62334ºE ,A
FK 13141,Oreophryne anamiatoi,33773,alcoholic,"installed, Dec 2009","Papua New Guinea: Southern Highlands Prov., Point 22 (5.64509° S, 142.63618° E, 1874 m) = from F Kraus field catalogue",Point 22 {Papua New Guinea: Southern Highlands Prov.: Point 22    :    1874 m    :     [5.64509° S (WGS 84)]   [142.63618° E (WGS 84)].},,Southern Highlands Prov.,F Kraus,03 Apr 2009,", ",1874 m,Papua New Guinea,Southern Highlands Prov.,Point 22    ,Point 22,-5.64509,142.63618,,A
