"BPBM","genus","species","svl","finger","toe","ft","anterior","posterior","ap","reference","fpadtpad","palate","toe_length","toe_webbing","IO_space","tympanum","teeth","two_palate_folds","pupil_horizontal","pectoral_type","call_type","gensp"
15714,"Auparoparo","equus",21.07,NA,NA,NA,NA,NA,NA,"Kraus_2016",2,0,FALSE,0,0,1,FALSE,TRUE,TRUE,"ligamentous","peeping","Auparoparo_equus"
15716,"Auparoparo","equus",20.51,NA,NA,NA,NA,NA,NA,"",1,1,FALSE,0,1,1,FALSE,TRUE,TRUE,"ligamentous","peeping","Auparoparo_equus"
15717,"Auparoparo","equus",20.02,NA,NA,NA,NA,NA,NA,"",2,1,FALSE,0,0,1,FALSE,TRUE,TRUE,"ligamentous","peeping","Auparoparo_equus"
15718,"Auparoparo","equus",19.97,NA,NA,NA,NA,NA,NA,"",1,1,FALSE,0,0,1,FALSE,FALSE,TRUE,"ligamentous","peeping","Auparoparo_equus"
15719,"Auparoparo","equus",21.49,NA,NA,NA,NA,NA,NA,"",3,0,FALSE,0,0,1,FALSE,FALSE,TRUE,"ligamentous","peeping","Auparoparo_equus"
16119,"Auparoparo","insulana",23.3,1.429032258,0.9752822581,1.465249928,1.892753213,1.242647328,1.523162019,"",3,2,FALSE,1,2,2,FALSE,TRUE,TRUE,"ligamentous","whinny","Auparoparo_insulana"
16220,"Oreophryne","inornata",32.5,NA,NA,NA,NA,NA,NA,"Kraus_2016",0,0,FALSE,2,2,1,FALSE,TRUE,TRUE,"ligamentous","honk","Oreophryne_inornata"
16220,"Oreophryne","inornata",33.5,2.725684668,2.569817154,1.060653153,1.925006557,2.238975127,0.8597713008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oreophryne_inornata"
16221,"Oreophryne","inornata",33.5,2.03125,2.158151042,0.9411991843,2.111844451,1.849800361,1.141660741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oreophryne_inornata"
16228,"Oreophryne","inornata",39.1,3.525356843,3.162067304,1.114889882,2.543428486,2.428635556,1.047266429,"",0,0,FALSE,3,2,1,FALSE,TRUE,TRUE,"ligamentous","honk","Oreophryne_inornata"
16230,"Oreophryne","inornata",33.3,2.860195368,2.669852317,1.071293475,2.301330693,1.765703467,1.303350612,"",0,1,FALSE,3,1,1,FALSE,TRUE,TRUE,"ligamentous","honk","Oreophryne_inornata"
16233,"Oreophryne","inornata",39.4,3.544853269,3.14699733,1.126423984,2.040952587,1.819230677,1.121876743,"",0,1,FALSE,2,2,1,FALSE,TRUE,TRUE,"ligamentous","honk","Oreophryne_inornata"
16237,"Oreophryne","inornata",31.5,2.274275571,2.133574277,1.065946284,2.107239427,1.233967655,1.707694216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oreophryne_inornata"
16248,"Oreophryne","inornata",37.2,2.84621302,3.197403975,0.8901637208,2.360874954,2.180701233,1.082621919,"",0,1,FALSE,2,1,1,FALSE,TRUE,TRUE,"ligamentous","honk","Oreophryne_inornata"
16546,"Auparoparo","insulana",21.4,1.144993474,0.9187116422,1.246303433,1.450789852,1.266424395,1.145579521,"",3,0,FALSE,1,1,1,FALSE,TRUE,TRUE,"ligamentous","whinny","Auparoparo_insulana"
16547,"Auparoparo","insulana",21.8,1.256878199,0.9270404337,1.355796525,1.885402721,1.243650364,1.516023133,"Kraus_2016",3,0,FALSE,1,1,1,FALSE,TRUE,TRUE,"ligamentous","whinny","Auparoparo_insulana"
16548,"Auparoparo","insulana",21.3,1.22361239,0.8922670328,1.371352235,1.83687917,1.41421399,1.298869325,"",3,1,FALSE,1,1,1,FALSE,TRUE,TRUE,"ligamentous","whinny","Auparoparo_insulana"
16549,"Auparoparo","insulana",16.9,0.8413503866,0.5286452914,1.591521575,1.539136302,1.087381916,1.415451443,"",3,3,FALSE,1,1,1,FALSE,TRUE,TRUE,"ligamentous","whinny","Auparoparo_insulana"
16553,"Oreophryne","philosylleptoris",26.61,NA,NA,NA,NA,NA,NA,"",0,0,FALSE,2,0,1,FALSE,TRUE,TRUE,"ligamentous","honk","Oreophryne_philosylleptoris"
16554,"Oreophryne","philosylleptoris",26.68,NA,NA,NA,NA,NA,NA,"Kraus_2016",0,0,FALSE,2,0,2,FALSE,TRUE,TRUE,"ligamentous","honk","Oreophryne_philosylleptoris"
17978,"Auparoparo","matawan",18.2,1.358733268,1.013208214,1.341020779,1.801642262,1.084173991,1.661764881,"Kraus_2016",2,2,FALSE,1,2,1,FALSE,TRUE,TRUE,"ligamentous","rattle","Auparoparo_matawan"
17979,"Auparoparo","matawan",18.4,1.263048382,1.030667956,1.22546585,1.469490087,1.169594151,1.256410256,"",2,1,FALSE,1,1,1,FALSE,TRUE,TRUE,"ligamentous","rattle","Auparoparo_matawan"
17980,"Auparoparo","matawan",19.7,1.212231703,1.048471977,1.15618894,1.656973643,1.275244183,1.299338327,"",2,2,FALSE,1,1,2,FALSE,TRUE,TRUE,"ligamentous","rattle","Auparoparo_matawan"
17983,"Auparoparo","matawan",17.4,1.108305617,0.9125283138,1.214543812,1.469490087,1.169594151,1.256410256,"",3,1,FALSE,1,2,1,FALSE,TRUE,TRUE,"ligamentous","rattle","Auparoparo_matawan"
17984,"Auparoparo","matawan",17.5,1.113606691,0.9691554468,1.149048581,1.783905023,1.117952374,1.595689642,"",2,2,FALSE,1,1,1,FALSE,TRUE,TRUE,"ligamentous","rattle","Auparoparo_matawan"
18125,"Auparoparo","picticrus",26.3,1.448144591,1.207890917,1.198903453,1.998968389,1.29817316,1.539831858,"",2,1,FALSE,2,2,2,FALSE,TRUE,TRUE,"ligamentous","whinny","Auparoparo_picticrus"
18130,"Auparoparo","picticrus",27,2.23253218,1.52016837,1.468608493,2.072932327,1.550252488,1.337157878,"",2,1,FALSE,1,1,1,FALSE,TRUE,TRUE,"ligamentous","whinny","Auparoparo_picticrus"
18145,"Auparoparo","picticrus",29.2,2.205125732,1.378315555,1.599870017,2.754824772,1.569625178,1.755084469,"",2,2,FALSE,1,1,2,FALSE,TRUE,TRUE,"ligamentous","whinny","Auparoparo_picticrus"
18146,"Auparoparo","picticrus",27.8,2.578339478,1.703822472,1.513267679,2.339976787,1.465808259,1.59637304,"Kraus_2016",2,1,FALSE,1,1,2,FALSE,TRUE,TRUE,"ligamentous","whinny","Auparoparo_picticrus"
18163,"Auparoparo","picticrus",26.3,1.612620985,1.222191427,1.319450414,2.023974064,1.316448374,1.537450388,"",2,2,FALSE,1,1,1,FALSE,TRUE,TRUE,"ligamentous","whinny","Auparoparo_picticrus"
18507,"Oreophryne","lemur",25.5,NA,NA,NA,NA,NA,NA,"Kraus_2016",0,1,FALSE,1,2,1,FALSE,TRUE,TRUE,"ligamentous","honk","Oreophryne_lemur"
18509,"Oreophryne","lemur",25.3,NA,NA,NA,NA,NA,NA,"",0,1,FALSE,1,2,1,FALSE,TRUE,TRUE,"ligamentous","honk","Oreophryne_lemur"
18510,"Oreophryne","geislerorum",26.5,NA,NA,NA,NA,NA,NA,"Zweifel_2003",0,0,FALSE,0,0,2,FALSE,TRUE,TRUE,"ligamentous","other","Oreophryne_geislerorum"
18512,"Oreophryne","geislerorum",23.02,NA,NA,NA,NA,NA,NA,"",0,0,FALSE,1,0,1,FALSE,TRUE,TRUE,"ligamentous","other","Oreophryne_geislerorum"
20444,"Auparoparo","meliades",23.68,NA,NA,NA,NA,NA,NA,"",2,0,FALSE,0,1,2,FALSE,TRUE,TRUE,"ligamentous","whinny","Auparoparo_meliades"
20467,"Auparoparo","ezra",25.1,1.849457691,1.500880301,1.232248628,2.376427309,1.693597216,1.403183287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Auparoparo_ezra"
20467,"Auparoparo","meliades",25.59,NA,NA,NA,NA,NA,NA,"",2,2,FALSE,0,0,1,FALSE,TRUE,TRUE,"ligamentous","whinny","Auparoparo_meliades"
20469,"Auparoparo","ezra",25.2,1.793580942,1.1951417,1.500726601,1.943126886,1.394053486,1.393868245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Auparoparo_ezra"
20469,"Auparoparo","ezra",25.45,NA,NA,NA,NA,NA,NA,"",3,1,FALSE,0,0,1,FALSE,TRUE,TRUE,"ligamentous","other","Auparoparo_ezra"
20472,"Auparoparo","ezra",23.1,1.65573059,1.168458141,1.417021742,1.967435754,1.297813267,1.515962122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Auparoparo_ezra"
20473,"Auparoparo","ezra",23.3,2.023025048,1.375722543,1.470518207,1.883498214,1.140876296,1.650922383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Auparoparo_ezra"
20473,"Auparoparo","ezra",24.2,NA,NA,NA,NA,NA,NA,"Kraus_Allison_2009",2,1,FALSE,0,0,1,FALSE,TRUE,TRUE,"ligamentous","other","Auparoparo_ezra"
20486,"Auparoparo","ezra",26.1,1.766283099,1.337480007,1.320605235,2.336082096,1.667249738,1.401159073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Auparoparo_ezra"
20492,"Auparoparo","ezra",22.31,NA,NA,NA,NA,NA,NA,"",3,1,FALSE,0,0,1,FALSE,TRUE,TRUE,"ligamentous","other","Auparoparo_ezra"
20493,"Auparoparo","ezra",23.3,NA,NA,NA,NA,NA,NA,"",2,0,FALSE,0,0,1,FALSE,TRUE,TRUE,"ligamentous","other","Auparoparo_ezra"
20500,"Auparoparo","meliades",19.69,NA,NA,NA,NA,NA,NA,"Kraus_2016",1,0,FALSE,0,0,2,FALSE,TRUE,TRUE,"ligamentous","whinny","Auparoparo_meliades"
20504,"Auparoparo","meliades",19.42,NA,NA,NA,NA,NA,NA,"",1,1,FALSE,0,0,2,FALSE,TRUE,TRUE,"ligamentous","whinny","Auparoparo_meliades"
