genus,species,gensp,measurer,date,id,svl,femur,tibiofibula,tarsus,foot,headW,headL,humerus,radioulna,hand,checked,,fingpadW,fingpadL,toepadW,toepadL
Aphantophryne,pansa,Aphantophryne pansa-Omunia Camp,MB,7/13/23,41762,20.57,8.25,7.12,4.68,7.92,8.48,6.47,6.36,4.92,4.96,,,,,,
Aphantophryne,pansa,Aphantophryne pansa-Omunia Camp,MB,7/13/23,41724,22.12,8.49,6.59,4.71,8.54,8.97,7.03,6.37,5.68,5.52,,,,,,
Aphantophryne,pansa,Aphantophryne pansa-Omunia Camp,MB,7/13/23,41779,18.47,7.93,6.04,3.89,7.01,8,5.72,5.88,4.41,4.58,,,,,,
Aphantophryne,pansa,Aphantophryne pansa-Omunia Camp,MB,7/13/23,41735,18.6,7.91,6.28,4.16,7.13,7.75,5.47,6.14,4.48,4.51,,,,,,
Aphantophryne,pansa,Aphantophryne pansa-Omunia Camp,MB,7/13/23,41866,16.25,7.11,5.19,3.82,5.96,6.43,5.82,4.79,3.64,3.58,,,,,,
Aphantophryne,pansa,Aphantophryne pansa-Omunia Camp,MB,7/13/23,41801,16.18,6.65,5.36,4.2,6.47,7.28,4.84,4.89,4.23,3.66,,,,,,
Aphantophryne,pansa,Aphantophryne pansa-Omunia Camp,MB,7/13/23,41716,17.95,6.93,5.36,3.85,6.34,6.75,5.18,4.87,4.15,4.28,,,,,,
Aphantophryne,pansa,Aphantophryne pansa-Omunia Camp,MB,7/13/23,41703,16.65,7.22,5.27,3.53,6.39,6.53,5.12,5.45,4.17,3.74,,,,,,
Aphantophryne,pansa,Aphantophryne pansa-Omunia Camp,MB,7/13/23,41765,21.88,9.14,7.2,5.18,8.9,9.39,6.9,7.44,5.27,6,,,,,,
Aphantophryne,pansa,Aphantophryne pansa-Omunia Camp,AF,7/13/23,41706,21.72,8.22,6.32,4.22,7.76,8.38,6.63,5.97,4.64,5.08,,,,,,
Aphantophryne,pansa,Aphantophryne pansa-Omunia Camp,AF,7/13/23,41806,17.03,7.03,6.08,3.82,6.95,7.32,5.2,5.03,3.93,4.35,,,,,,
Aphantophryne,pansa,Aphantophryne pansa-Omunia Camp,AF,7/13/23,41803,14.47,6.63,5.64,3.64,5.77,6.28,4.6,4.21,3.38,3.69,,,,,,
Aphantophryne,pansa,Aphantophryne pansa-Omunia Camp,AF,7/13/23,41712,18.38,6.7,5.63,3.66,6.26,7.19,5.63,5.07,3.87,3.98,,,,,,
Aphantophryne,pansa,Aphantophryne pansa-Omunia Camp,AF,7/13/23,41692,17.12,6.68,5.68,3.8,6.82,6.89,5.37,5.2,4.11,3.92,,,,,,
Aphantophryne,pansa,Aphantophryne pansa-Omunia Camp,AF,7/13/23,41783,22.36,8.85,6.99,4.83,7.85,9.31,6.38,6.02,4.97,5,,,,,,
Aphantophryne,sabini,Aphantophryne sabini,AF,7/13/23,44367,21,6.92,5.95,3.82,7.34,7.47,5.39,5.35,4.27,4.84,,,,,,
Aphantophryne,sabini,Aphantophryne sabini,AF,7/13/23,44374,19.27,7.27,5.93,3.92,7.25,7.01,5.59,5.7,4.23,4.66,,,,,,
Aphantophryne,sabini,Aphantophryne sabini,AF,7/13/23,44368,15.33,6.3,5.18,3.55,6.09,6.12,4.75,4.69,3.73,3.58,,,,,,
Aphantophryne,sabini,Aphantophryne sabini,AF,7/13/23,44360,19.07,6.7,5.6,3.95,6.9,7.05,5.4,5.21,3.49,4.24,,,,,,
Aphantophryne,sabini,Aphantophryne sabini,AF,7/13/23,44364,21.52,6.98,5.98,4.09,7.39,7.67,5.57,5.39,4.35,4.68,,,,,,
Aphantophryne,sabini,Aphantophryne sabini,AF,7/13/23,44348,17.05,5.81,4.93,3.73,5.65,5.51,4.85,4.01,3.8,3.32,,,,,,
Aphantophryne,sabini,Aphantophryne sabini,MB,7/13/23,44370,20.89,7.44,5.95,4.22,7.44,7.69,6.58,5.39,4.4,4.78,,,,,,
Aphantophryne,sabini,Aphantophryne sabini,MB,7/13/23,44362,19.55,7.75,6.08,3.97,7.27,6.98,5.44,5.42,4.62,4.88,,,,,,
Aphantophryne,sabini,Aphantophryne sabini,MB,7/13/23,44365,16.33,6.27,5.52,3.93,5.81,5.9,4.76,3.82,3.5,3.88,,,,,,
Aphantophryne,sabini,Aphantophryne sabini,MB,7/13/23,44344,15.9,5.36,5,3.67,4.85,5.5,4.09,4.28,3.3,3.33,,,,,,
Aphantophryne,sabini,Aphantophryne sabini,MB,7/13/23,44354,22.36,7.47,6.75,4.39,7.45,7.65,6.48,5.77,4.55,4.33,,,,,,
Aphantophryne,sabini,Aphantophryne sabini,MB,7/13/23,44357,18.58,6.41,5.88,3.71,6.23,6.43,5.1,5.41,3.81,4.03,,,,,,
Aphantophryne,sabini,Aphantophryne sabini,MB,7/13/23,44347,17.59,6.95,5.27,3.74,6.33,6.78,5.39,4.94,3.8,4.37,,,,,,
Aphantophryne,sabini,Aphantophryne sabini,MB,7/13/23,44361,18.76,6.94,5.67,3.83,6.67,6.83,5.53,5.25,3.67,4.17,,,,,,
Aphantophryne,sabini,Aphantophryne sabini,MB,7/13/23,44356,19.4,7.82,5.99,3.86,6.89,6.9,6.2,5.54,4.36,4.62,,,,,,
Oreophryne,anamiatoi,Oreophryne A anamiatoi,MB,7/17/23,33763,21.85,9.45,10,6.4,10.38,7.53,6.44,5.74,5.93,6.81,X,,,,,
Oreophryne,anamiatoi,Oreophryne A anamiatoi,MB,7/13/23,33764,27.31,12.67,12.51,8.83,13.43,9.43,7.17,7.93,7.96,9.07,X,,,,,
