label,id,genus,species,species_reference,lifestyle,habitat_reference,terrane,country,province,locality,site,siteN,type_locality,latitude,longitude,elevation,SIA,BDNF,NXC1,CYTB,ND4,tiplabsite
BPBM15775-Oreophryne_B_equus,BPBM15775,Oreophryne B,equus,Kraus 2016,arboreal,Kraus 2016,epct,Papua New Guinea,Milne Bay Province,Cloudy Mts.,Upaelisafupi Stream,58,type locality,-10.4970833,150.2329666,715,MZ634660,MZ634896,MZ635131,MZ635368,MZ647811,BPBM15775-Oreophryne_B_equus-Upaelisafupi_Stream-Cloudy_Mts.
BPBM16546-Oreophryne_B_insulana,BPBM16546,Oreophryne B,insulana,Zweifel 1956,arboreal,Zweifel 1956,dentrecasteaux,Papua New Guinea,Milne Bay Province,Fergusson Island,Summit Mt. Kilkerran,60,,-9.45851,150.76911,1830,MZ634688,MZ634924,MZ635159,MZ635396,MZ647839,BPBM16546-Oreophryne_B_insulana-Summit_Mt._Kilkerran-Fergusson_Island
BPBM17980-Oreophryne_B_matawan,BPBM17980,Oreophryne B,matawan,Kraus 2016,arboreal,Kraus 2016,epct,Papua New Guinea,Milne Bay Province,Mt. Simpson Massif,Bunisi,54,type locality,-10.0226449,149.5919854,1400,MZ634726,MZ634962,MZ635197,MZ635433,MZ647876,BPBM17980-Oreophryne_B_matawan-Bunisi-Mt._Simpson_Massif
BPBM18128-Oreophryne_B_picticrus,BPBM18128,Oreophryne B,picticrus,Kraus 2016,arboreal,,misima,Papua New Guinea,Milne Bay Province,Misima Island,Bwaga Bwaga ridge,68,holotype,-10.674,152.683,460,MZ634724,MZ634960,MZ635195,MZ635431,MZ647874,BPBM18128-Oreophryne_B_picticrus-Bwaga_Bwaga_ridge-Misima_Island
BPBM20440-Oreophryne_B_meliades,BPBM20440,Oreophryne B,meliades,Kraus 2016,arboreal,Kraus 2016,sudest,Papua New Guinea,Milne Bay Province,Sudest Island,Araeda,72,type locality,-11.43624,153.43008,10.5,MZ634753,MZ634988,MZ635225,MZ635458,MZ647903,BPBM20440-Oreophryne_B_meliades-Araeda-Sudest_Island
BPBM20469-Oreophryne_B_ezra,BPBM20469,Oreophryne B,ezra,Kraus & Allison 2009,arboreal,Kraus & Allison 2009,sudest,Papua New Guinea,Milne Bay Province,Sudest Island,Mt. Rio,71,type locality,-11.5054,153.43,679.5,MZ634749,MZ634984,MZ635221,MZ635454,MZ647899,BPBM20469-Oreophryne_B_ezra-Mt._Rio-Sudest_Island
BPBM20501-Oreophryne_B_meliades,BPBM20501,Oreophryne B,meliades,Kraus 2016,arboreal,Kraus 2016,sudest,Papua New Guinea,Milne Bay Province,Sudest Island,Araeda,72,type locality,-11.43624,153.43008,10.5,MZ634657,MZ634893,MZ635128,MZ635365,MZ647808,BPBM20501-Oreophryne_B_meliades-Araeda-Sudest_Island
BPBM20532-Oreophryne_B_sp.3,BPBM20532,Oreophryne B,sp.3,,arboreal,,rossel,Papua New Guinea,Milne Bay Province,Rossel Island,Mt. Rossel,75,,-11.35552,154.22459,720,MZ634747,MZ634982,MZ635219,MZ635452,MZ647897,BPBM20532-Oreophryne_B_sp.3-Mt._Rossel-Rossel_Island
BPBM20538-Oreophryne_B_sp.3,BPBM20538,Oreophryne B,sp.3,,arboreal,,rossel,Papua New Guinea,Milne Bay Province,Rossel Island,Mt. Rossel,75,,-11.35552,154.22459,720,MZ634640,MZ634876,MZ635111,MZ635348,MZ647792,BPBM20538-Oreophryne_B_sp.3-Mt._Rossel-Rossel_Island
BPBM20571-Oreophryne_B_sp.2,BPBM20571,Oreophryne B,sp.2,,arboreal,,rossel,Papua New Guinea,Milne Bay Province,Rossel Island,Mt. Rossel,75,,-11.35552,154.22459,720,MZ634585,MZ634821,MZ635056,MZ635293,MZ647740,BPBM20571-Oreophryne_B_sp.2-Mt._Rossel-Rossel_Island
BPBM20572-Oreophryne_B_sp.3,BPBM20572,Oreophryne B,sp.3,,arboreal,,rossel,Papua New Guinea,Milne Bay Province,Rossel Island,Mt. Rossel,75,,-11.35552,154.22459,720,MZ634592,MZ634828,MZ635063,MZ635300,MZ647746,BPBM20572-Oreophryne_B_sp.3-Mt._Rossel-Rossel_Island
BPBM38988-Oreophryne_B_sp.4,BPBM38988,Oreophryne B,sp.4,,arboreal,,epct,Papua New Guinea,Milne Bay Province,Suckling Dayman Dome,Site 1,48,,-9.75802,149.18218,NA,MZ634619,MZ634855,MZ635090,MZ635327,MZ647771,BPBM38988-Oreophryne_B_sp.4-Site_1-Suckling_Dayman_Dome
BPBM39000-Oreophryne_B_sp.1,BPBM39000,Oreophryne B,sp.1,,arboreal,,epct,Papua New Guinea,Milne Bay Province,Mt. Dayman Foothills,Binigua Site 2,51,,-9.70712,149.24985,900,MZ634597,MZ634833,MZ635068,MZ635305,MZ647751,BPBM39000-Oreophryne_B_sp.1-Binigua_Site_2-Mt._Dayman_Foothills
BPBM39344-Oreophryne_B_sp.4,BPBM39344,Oreophryne B,sp.4,,arboreal,,epct,Papua New Guinea,Milne Bay Province,Suckling Dayman Dome,Site 1,48,,-9.75802,149.18218,NA,MZ634645,MZ634881,MZ635116,MZ635353,MZ647796,BPBM39344-Oreophryne_B_sp.4-Site_1-Suckling_Dayman_Dome
BPBM39357-Oreophryne_B_sp.6,BPBM39357,Oreophryne B,sp.6,,arboreal,,epct,Papua New Guinea,Milne Bay Province,Suckling Dayman Dome,Site 1,48,,-9.75802,149.18218,NA,MZ634607,MZ634843,MZ635078,MZ635315,MZ647760,BPBM39357-Oreophryne_B_sp.6-Site_1-Suckling_Dayman_Dome
BPBM39510-Oreophryne_B_phoebe,BPBM39510,Oreophryne B,phoebe,Kraus 2017,arboreal,Kraus 2017,woodlark,Papua New Guinea,Milne Bay Province,Woodlark Island,Bomagai,69,type locality,-9.12165,152.74862,67,MZ634643,MZ634879,MZ635114,MZ635351,MZ647795,BPBM39510-Oreophryne_B_phoebe-Bomagai-Woodlark_Island
BPBM40143-Oreophryne_B_brunnea,BPBM40143,Oreophryne B,brunnea,Kraus 2017,arboreal,Kraus 2017,epct,Papua New Guinea,Oro Province,Mt. Trafalgar,Camp 2,47,type locality,-9.19514,149.16164,833,MZ634751,MZ634986,MZ635223,MZ635456,MZ647901,BPBM40143-Oreophryne_B_brunnea-Camp_2-Mt._Trafalgar
JAM11383-Oreophryne_B_sp.5,JAM11383,Oreophryne B,sp.5,,arboreal,as per Allen Allison,notpng,Indonesia,Sulawesi,Sulawesi,Gunung Balease,77,,-1.8479,120.5279,NA,MZ634582,MZ634818,MZ635053,MZ635290,MZ647737,JAM11383-Oreophryne_B_sp.5-Gunung_Balease-Sulawesi
MB627-Oreophryne_B_penelopia,MB627,Oreophryne B,penelopia,Kraus 2016,arboreal,Butler field notes,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,Buyetai,64,,-10.0619,150.98416,2,MZ634784,MZ635019,MZ635256,MZ635489,MZ647933,MB627-Oreophryne_B_penelopia-Buyetai-Normanby_Island
TNHC58922-Oreophryne_B_variabilis,TNHC58922,Oreophryne B,variabilis,Van Kampen 1923,arboreal,,notpng,Indonesia,Sulawesi,"Celebes Island, Sulawesi",Mt. Lompo Battang,119.931667,,-5.346667,119.931667,NA,MZ634666,MZ634902,MZ635137,MZ635374,MZ647817,"TNHC58922-Oreophryne_B_variabilis-Mt._Lompo_Battang-Celebes_Island,_Sulawesi"
UMMZ242398-Oreophryne_B_penelopia,UMMZ242398,Oreophryne B,penelopia,Kraus 2016,arboreal,Butler field notes,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,Mt. Hobia,65,,-10.07959,151.00602,1000,MZ634580,MZ634816,MZ635051,MZ635288,MZ647735,UMMZ242398-Oreophryne_B_penelopia-Mt._Hobia-Normanby_Island
